gakku,fiscal year,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over,rate_0_11,rate_65_over
Seta Minami,2018,15455,1590,1126,8231,4508,0.102879327,0.291685539
Seta Minami,2019,15462,1530,1139,8221,4572,0.09895227,0.295692666
Seta Minami,2020,15350,1482,1130,8159,4579,0.096547231,0.298306189
Seta Minami,2021,15354,1481,1126,8130,4617,0.096456949,0.3007034
Seta Minami,2022,15320,1434,1088,8216,4582,0.093603133,0.299086162
Seta Minami,2023,15239,1380,1065,8192,4602,0.090557123,0.301988319
Seta Minami,2024,15071,1356,1008,8088,4619,0.089974122,0.306482649
Seta Minami,2025,15018,1340,1001,8073,4604,0.089226262,0.306565455
Shiga,2018,16646,1788,1130,9410,4318,0.107413192,0.259401658
Shiga,2019,16588,1751,1090,9384,4363,0.105558235,0.263021461
Shiga,2020,16642,1710,1100,9415,4417,0.102752073,0.265412811
Shiga,2021,16845,1723,1089,9545,4488,0.102285545,0.266429207
Shiga,2022,16951,1731,1074,9646,4500,0.102117869,0.265471064
Shiga,2023,17225,1757,1047,9820,4601,0.102002903,0.267111756
Shiga,2024,17538,1792,1061,10004,4681,0.102178127,0.266906147
Shiga,2025,17613,1811,1032,10019,4751,0.102821779,0.269743939
Shimosakamoto,2018,10990,1571,838,6331,2250,0.142948135,0.204731574
Shimosakamoto,2019,11192,1575,876,6460,2281,0.140725518,0.20380629
Shimosakamoto,2020,11276,1555,873,6559,2289,0.137903512,0.202997517
Shimosakamoto,2021,11476,1639,845,6694,2298,0.142819798,0.200243987
Shimosakamoto,2022,11765,1687,865,6910,2303,0.143391415,0.195750106
Shimosakamoto,2023,11876,1691,885,6927,2373,0.142388009,0.199814752
Shimosakamoto,2024,11927,1686,901,6924,2416,0.14135994,0.202565607
Shimosakamoto,2025,11998,1716,907,6937,2438,0.143023837,0.203200533
Tanoue,2018,10266,770,621,5459,3416,0.07500487,0.33274888
Tanoue,2019,10053,722,596,5270,3465,0.071819357,0.344673232
Tanoue,2020,9997,697,582,5159,3559,0.069720916,0.356006802
Tanoue,2021,9898,675,553,5057,3613,0.068195595,0.365023237
Tanoue,2022,9787,656,543,4908,3680,0.06702769,0.376008992
Tanoue,2023,9718,619,549,4791,3759,0.063696234,0.386807985
Tanoue,2024,9505,572,517,4660,3756,0.060178853,0.395160442
Tanoue,2025,9388,567,490,4577,3754,0.060396251,0.399872177
Wani,2018,8643,793,697,4810,2343,0.09175055,0.271086428
Wani,2019,8578,767,667,4772,2372,0.089414782,0.276521334
Wani,2020,8485,759,621,4708,2397,0.089451974,0.282498527
Wani,2021,8376,715,612,4610,2439,0.085362942,0.291189112
Wani,2022,8349,700,592,4605,2452,0.083842376,0.293687867
Wani,2023,8217,653,563,4492,2509,0.079469393,0.305342582
Wani,2024,8102,616,572,4352,2562,0.07603061,0.316218218
Wani,2025,8050,595,542,4337,2576,0.073913043,0.32
Yamanaka Hieidaira,2018,2785,191,179,1304,1111,0.068581688,0.398922801
Yamanaka Hieidaira,2019,2748,184,179,1237,1148,0.066957787,0.41775837
Yamanaka Hieidaira,2020,2753,189,176,1233,1155,0.068652379,0.419542317
Yamanaka Hieidaira,2021,2717,182,169,1212,1154,0.066985646,0.424733162
Yamanaka Hieidaira,2022,2698,175,165,1185,1173,0.064862861,0.434766494
Yamanaka Hieidaira,2023,2676,170,146,1180,1180,0.063527653,0.440956652
Yamanaka Hieidaira,2024,2631,166,138,1149,1178,0.063093881,0.447738502
Yamanaka Hieidaira,2025,2588,161,129,1126,1172,0.062210201,0.452859351
Zeze,2018,15586,1510,944,8495,4637,0.096881817,0.297510586
Zeze,2019,15564,1464,941,8526,4633,0.094063223,0.29767412
Zeze,2020,15511,1428,939,8510,4634,0.092063697,0.298755722
Zeze,2021,15473,1408,917,8484,4664,0.090997221,0.301428294
Zeze,2022,15341,1383,916,8362,4680,0.090150577,0.305064859
Zeze,2023,15314,1368,900,8343,4703,0.089330025,0.30710461
Zeze,2024,15058,1322,907,8136,4693,0.087793864,0.311661575
Zeze,2025,15012,1296,925,8083,4708,0.086330935,0.313615774
